id,name,score,url,address
5659815,北京三里屯通盈中心洲际酒店,4.7,/hotel/5659815.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18,朝阳区南三里屯1号楼，近工体北街。 （ 东直门、工体、雍和宫地区国贸地区）
9215536,北京泛太平洋酒店,4.7,/hotel/9215536.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19,"西城区华远街2号，近地铁1号线西单站A口出,4号线西单站F2口出。 （ 西单、金融街地区）"
732835,北京友谊宾馆贵宾楼,4.7,/hotel/732835.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20,海淀区中关村南大街1号贵宾楼，近校园北路。 （ 中关村、五道口）
6182624,北京格兰云天国际酒店,4.7,/hotel/6182624.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21,大兴区亦庄经济技术开发区荣华南路15号中航技广场10号楼，近同仁医院（南区）。 （ 亦庄地区）
7008001,北京海湾半山温泉酒店,4.7,/hotel/7008001.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22,密云区密溪路36号，近密云水库。 （ 密云风景区）
427952,北京金隅喜来登酒店,4.7,/hotel/427952.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23,东城区北三环东路36号，近地铁5号线和平西桥站A口。 （ 马甸、安贞地区）
535068,北京蔓兰酒店,4.7,/hotel/535068.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24,东城区东直门外香河园路1号当代MOMA内T6号楼，近左家庄西街、工体、簋街。 （ 国展中心地区）
374792,北京王府半岛酒店,4.7,/hotel/374792.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25,东城区王府井金鱼胡同8号，近王府井步行街。 （ 天安门、王府井地区）
661166,北京丽苑公寓,4.7,/hotel/661166.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1,东城区王府井金鱼胡同18号，近协和医院。 （ 天安门、王府井地区）
1171744,北京东方美高美国际酒店,4.7,/hotel/1171744.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2,丰台区文林北街2号，近良三路。 （ 房山风景区）
9371514,北京东直门雅辰悦居酒店,4.7,/hotel/9371514.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3,东城区香河园街1号院11号楼，近机场高速。 （ 东直门、工体、雍和宫地区燕莎、三里屯商业区）
387040,北京金融街丽思卡尔顿酒店,4.7,/hotel/387040.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4,西城区金融街金城坊东街1号，太平桥大街路口。 （ 西单、金融街地区）
419951,北京柏悦酒店,4.7,/hotel/419951.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5,朝阳区建国门外大街2号，近国贸立交桥西南角。 （ 国贸地区）
440874,北京怡亨酒店,4.7,/hotel/440874.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6,朝阳区东大桥路9号，近日坛北路。 （ 东直门、工体、雍和宫地区）
429118,北京万豪行政公寓,4.7,/hotel/429118.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7,东城区霞公府街1号北门，近王府井大街、商业街。 （ 天安门、王府井地区）
